pointid,bundesland,probenahme_monat,probenahme_jahr,xcoord,ycoord,bodenklimaraum_name,landnutzung,bze_moor,hauptbodentyp,bodenvartypsub,grundwastufe,grundwastand,moormaechtigkeit,torfmaechtigkeit,neigung,exposition,woelbung,reliefformtyp,lageimrelief,kv_0_30,kv_30_100,profile_picture
3165,HE,9,2012,546903.673,5625840.868,Osthessische Mittelgebirgslagen,A,0,YK,YKn,0,>200,0,0,N3.1,WW,XX,H,R,48.93,36.43,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3165_Z_1.GIF
3166,HE,8,2013,555359.8695,5625862.616,Osthessische Mittelgebirgslagen,A,0,BB,BBn,0,NA,0,0,N2.2,SE,VG,H,U,72.12,48.16,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3166_Z_1.GIF
3167,HE,11,2012,565991.2413,5628158.522,Osthessische Mittelgebirgslagen,G,0,DD,DDn,0,NA,0,0,N2.2,NE,XX,KSF,R,54.87,6.82,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3167_Z_1.GIF
3169,TH,9,2015,580086.2204,5626842.305,Verwitterungsböden in den Übergangslagen (Ost),A,0,SS,kSSn,0,>200,0,0,N3,SS,XG,H,M,40.3,7.37,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3169_Z_1.GIF
3170,TH,3,2016,587114.947,5624306.976,Lößböden in den Übergangslagen (Ost),G,0,ZZ,>RQ/e.sYK,0,>200,0,0,N2.2,WW,VG,H,U,64.07,27.62,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3170_Z_1.GIF
3171,TH,10,2015,596769.1272,5626768.187,Thüringer Wald,A,0,RQ,BB-RQ,0,>200,0,0,N2.2,SE,XX,KH,R,43.2,3.35,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3171_Z_1.GIF
3175,TH,8,2015,627894.2247,5628601.806,Verwitterungsböden in den Übergangslagen (Ost),A,0,RZ,BB-RZ,0,>200,0,0,N4,NN,GG,H,U,104.52,37.090000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3175_Z_1.GIF
3176,TH,12,2015,638387.6522,5626391.836,Verwitterungsböden in den Übergangslagen (Ost),G,0,BB,SS-BB,0,>200,0,0,N2,NN,GV,H,M,51.71,23.45,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3176_Z_1.GIF
3177,TH,10,2015,643351.4523,5627446.486,Verwitterungsböden in den Übergangslagen (Ost),A,0,LLh,eBB-LLh,0,>200,0,0,N2.2,SE,GG,HF,M,52.88,31.25,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3177_Z_1.GIF
3179,TH,11,2015,661633.5317,5624817.275,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BBn,0,>200,0,0,N0.2,0,VV,G,Z,35.48,6,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3179_Z_1.GIF
3180,TH,11,2015,670892.9426,5625416.481,Verwitterungsböden in den Übergangslagen (Ost),A,0,SS,SSn,0,>200,0,0,N2.2,NN,XX,H,O,77.04,20.96,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3180_Z_1.GIF
3181,TH,7,2015,678592.9952,5624697.826,Lößböden in den Übergangslagen (Ost),A,0,AB,GG-AB,GWS5.2,>200,0,0,N0,,GG,TSF,Z,62.87,45.77,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3181_Z_1.GIF
3448,RP,9,2011,315880.9906,5583712.74,Hocheifel / Höhenlagen,G,0,BB,BBn,0,NA,0,0,N2.2,SS,XV,KH,R,69.41,10.16,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3448_Z_1.GIF
3182,TH,11,2015,685850.8751,5626974.022,Verwitterungsböden in den Übergangslagen (Ost),A,0,YK,YKn,0,>200,0,0,N2,NN,XX,H,M,35.37,23.75,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3182_Z_1.GIF
3184,TH,11,2015,700883.5454,5625701.472,Verwitterungsböden in den Übergangslagen (Ost),A,0,YK,YKn,0,>200,0,0,N2.2,NE,VV,H,O,44.18,9.75,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3184_Z_1.GIF
3185,TH,5,2015,710253.1444,5625048.316,Verwitterungsböden in den Übergangslagen (Ost),A,0,SS,SSn,0,>200,0,0,N2,NE,GG,H,M,68.37,33.270000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3185_Z_1.GIF
3186,TH,10,2015,715566.1605,5625524.61,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BBn,0,NA,0,0,N2,SS,XG,KS,R,62.31,8.31,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3186_Z_1.GIF
3187,TH,3,2016,727967.6813,5626986.08,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BBn,0,>200,0,0,N2.2,NW,XX,KVR,K,58.56,9.07,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3187_Z_1.GIF
3188,SN,3,2018,734671.405,5626549.191,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BB-SS,0,>200,0,0,N2.2,SS,GG,H,M,61.62,19.73,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3188_Z_1.GIF
3189,SN,8,2017,740148.6312,5628038.554,Lößböden in den Übergangslagen (Ost),A,0,SS,BB-LL-SS,0,>200,0,0,N2.2,NE,GG,H,O,58.09,16.079999999999998,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3189_Z_1.GIF
3193,SN,5,2017,773567.2878,5628355.742,Lößböden in den Übergangslagen (Ost),G,0,BB,SS-BB,0,>200,0,0,N3.1,NN,GG,H,M,80.32,20.55,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3193_Z_1.GIF
3197,SN,3,2018,806495.4629,5628600.015,Erzgebirge,A,0,BB,sBBn,0,>200,0,0,N2,WW,VG,H,Z,80.77,33.270000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3197_Z_1.GIF
3198,SN,3,2018,811479.3145,5627115.539,Erzgebirge,A,0,BB,BBn,0,>200,0,0,N4,NE,GX,H,M,87.07,27.39,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3198_Z_1.GIF
3200,NW,4,2014,301018.7771,5616407.493,Hocheifel / Höhenlagen,G,0,SG,S rHN-SG,0,>200,0,0,N2.2,NE,GG,H,M,158.64,36.020000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3200_Z_1.GIF
3203,NW,8,2013,324741.8859,5614757.639,Hocheifel / Höhenlagen,A,0,BB,BBn,0,NA,0,0,N2.2,SE,GG,H,O,46.22,17.89,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3203_Z_1.GIF
3204,NW,7,2014,333144.8291,5612323.909,"Jülicher Börde, Zülpicher Börde / Niederungslagen, feucht",G,0,AZ,GG-AZ,GWS3,100,0,0,N1,EE,VV,THM,R,68.62,126.62,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3204_Z_1.GIF
3205,NW,9,2013,342270.7838,5616565.961,"Jülicher Börde, Zülpicher Börde / Niederungslagen, feucht",A,0,LL,LLn,0,>200,0,0,N1,EE,GG,V,Z,51.39,32.19,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3205_Z_1.GIF
3206,NW,3,2013,351008.1108,5613521.8,"Jülicher Börde, Zülpicher Börde / Niederungslagen, feucht",A,0,LL,vLLn,0,NA,0,0,N0,,GG,V,Z,43.04,8.76,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3206_Z_1.GIF
3207,NW,4,2013,357906.7539,5615095.437,"Jülicher Börde, Zülpicher Börde / Niederungslagen, feucht",A,0,LL,LLn,0,>200,0,0,N1,SW,XX,H,O,47.26,31.9,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3207_Z_1.GIF
3209,NW,8,2013,374750.8364,5614665.167,"oberer Mittelrhein, Niederrhein, südliches Münsterland",G,0,SS,SSn,0,>200,0,0,N1,NW,GG,H,M,55.88,29.74,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3209_Z_1.GIF
3210,NW,8,2013,381257.8765,5617698.045,"oberer Mittelrhein, Niederrhein, südliches Münsterland",G,0,SS,SSn,0,NA,0,0,N2,NW,GG,H,M,99.8,24.24,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3210_Z_1.GIF
3217,RP,8,2011,436321.5187,5613822.72,"Hunsrück, Westerwald",G,0,BB,kBBn,0,NA,0,0,N2.2,EE,XX,H,U,60.26,19.14,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3217_Z_1.GIF
3218,HE,7,2012,446211.0946,5617037.501,"Sauerland, Briloner Höhen",G,0,BB,BBn,0,>200,0,0,N4,SS,XX,H,M,25.66,0.16,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3218_Z_1.GIF
3221,HE,7,2014,467645.1825,5617709.4,"Zentralhessische Ackerbaugebiete, Warburger Börde",G,0,BB,kSS-BB,0,>200,0,0,N3,NE,XX,H,M,53.16,22.2,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3221_Z_1.GIF
3223,HE,8,2013,485064.8456,5617841.773,"Zentralhessische Ackerbaugebiete, Warburger Börde",A,0,BB,SS-BB,0,NA,0,0,N1,SS,GX,H,M,64.3,32.799999999999997,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3223_Z_1.GIF
3224,HE,11,2012,490768.7064,5616643.52,"Zentralhessische Ackerbaugebiete, Warburger Börde",G,0,SS,kSSn,0,NA,0,0,N2.2,SS,VV,H,U,70.92,29.57,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3224_Z_1.GIF
3228,HE,8,2012,527884.7214,5618327.935,"Zentralhessische Ackerbaugebiete, Warburger Börde",G,0,YK,vSS-YK,0,>200,0,0,N2.2,SS,XX,H,Z,84.14,28.73,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3228_Z_1.GIF
3230,HE,11,2012,539976.1907,5616494.96,Osthessische Mittelgebirgslagen,G,0,AB,SS-AB,GWS5,NA,0,0,N0,,GG,TSF,Z,78.3,58.21,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3230_Z_1.GIF
3232,HE,11,2012,559503.3986,5618398.597,Osthessische Mittelgebirgslagen,A,0,SS,BB-SS,0,NA,0,0,N3.1,NW,XX,KS,R,48.25,24.77,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3232_Z_1.GIF
3235,TH,5,2015,580729.8624,5619225.846,Verwitterungsböden in den Übergangslagen (Ost),G,0,RQ,RQn,0,>200,0,0,N3.1,NW,XX,H,M,82.2,14.34,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3235_Z_1.GIF
3238,TH,10,2015,608278.8194,5618321.959,Verwitterungsböden in den Übergangslagen (Ost),G,0,BB,BBn,0,NA,0,0,N4,NW,GX,H,M,64.73,11.37,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3238_Z_1.GIF
3242,TH,6,2015,639722.843,5619606.101,Verwitterungsböden in den Übergangslagen (Ost),G,0,YK,sYKn,0,>200,0,0,N3,NE,VG,H,F,66.82,36.24,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3242_Z_1.GIF
3244,TH,9,2015,653538.0257,5619698.424,Verwitterungsböden in den Übergangslagen (Ost),A,0,ZZ,>RQn,0,>200,0,0,N3.1,NW,XX,H,O,44.3,12.91,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3244_Z_1.GIF
3245,TH,4,2015,659649.8088,5620924.186,Verwitterungsböden in den Übergangslagen (Ost),G,0,RR,CF-RR,0,>200,0,0,N4,SS,GV,HR,R,37.84,55.29,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3245_Z_1.GIF
3248,TH,8,2016,688042.3407,5620675.095,Verwitterungsböden in den Übergangslagen (Ost),A,0,RZ,RZn,0,>200,0,0,N3,NW,XX,H,M,69.39,17.05,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3248_Z_1.GIF
3251,TH,9,2015,708997.0644,5620291.296,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,SS-BB,0,>200,0,0,N0.2,EE,XG,KSF,K,72.89,20.51,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3251_Z_1.GIF
3252,TH,12,2015,715208.4581,5618081.901,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BBn,0,>200,0,0,N3.2,SE,XG,H,U,64.7,15.37,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3252_Z_1.GIF
3254,TH,4,2016,734700.7511,5618375.232,Verwitterungsböden in den Übergangslagen (Ost),A,0,SS,e.vBB-SS,0,>200,0,0,N2.2,NW,GG,HF,M,69.34,8.0299999999999994,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3254_Z_1.GIF
3255,SN,11,2016,744202.3648,5620096.896,Verwitterungsböden in den Übergangslagen (Ost),A,0,RQ,RQn,0,>200,0,0,N0,,XG,ERL,K,64.27,4.2,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3255_Z_1.GIF
3256,SN,3,2017,749188.9169,5621264.323,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,sBBn,0,>200,0,0,N2.2,SS,GX,H,M,60.11,16.98,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3256_Z_1.GIF
3257,SN,4,2017,756479.1381,5619677.322,Verwitterungsböden in den Übergangslagen (Ost),A,0,RQ,RQn,0,>200,0,0,N2.2,EE,XG,H,O,68.84,32.950000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3257_Z_1.GIF
3258,SN,5,2017,766770.9435,5619690.39,Verwitterungsböden in den Übergangslagen (Ost),A,0,RQ,RQn,0,>200,0,0,N3.1,EE,GG,HF,M,79.53,14.75,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3258_Z_1.GIF
3260,SN,9,2017,782283.8023,5620994.186,Verwitterungsböden in den Übergangslagen (Ost),G,0,BB,sBBn,0,>200,0,0,N4,NN,GG,H,M,86.09,6.65,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3260_Z_1.GIF
3263,SN,4,2017,804340.1959,5619715.515,Erzgebirge,A,0,BB,BBn,0,200,0,0,N2,NN,GX,HF,M,67.01,46.59,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3263_Z_1.GIF
3269,NW,7,2014,344028.8135,5608042.843,Hocheifel / Höhenlagen,A,0,BB,BBn,0,>200,0,0,N2.2,NE,VG,H,M,46.77,55.74,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3269_Z_1.GIF
3271,NW,9,2013,356516.0867,5604217.951,"Jülicher Börde, Zülpicher Börde / Niederungslagen, feucht",A,0,SS,LL-BB-SS,0,>200,0,0,N1,EE,GG,V,Z,50.98,18.440000000000001,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3271_Z_1.GIF
3272,NW,8,2013,364145.8106,5606480.487,"Jülicher Börde, Zülpicher Börde / Niederungslagen, feucht",A,0,LL,GG-LL,GWS4,>200,0,0,N0,,GG,V,Z,54.68,40.21,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3272_Z_1.GIF
3275,RP,2,2012,387938.5432,5605123.762,"Hunsrück, Westerwald",A,0,SS,SSn,0,>200,0,0,N1,SS,VV,KSF,Z,64.22,21.48,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3275_Z_1.GIF
3276,RP,3,2012,398765.5023,5604819.588,"Hunsrück, Westerwald",A,0,BB,eBBn,0,>200,0,0,N2.2,SW,XG,KHF,Z,54.85,16.87,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3276_Z_1.GIF
3280,RP,3,2012,430113.4812,5610583.539,"Hunsrück, Westerwald",G,0,BB,SS-BB,---,>200,0,0,N0.2,WW,XG,KS,Z,77.03,31.01,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3280_Z_1.GIF
3282,HE,9,2013,444416.6071,5607033.227,"Sauerland, Briloner Höhen",G,0,BB,kBBl,0,>200,0,0,N3,WW,GG,H,O,87.62,23.3,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3282_Z_1.GIF
3285,HE,10,2012,471373.1627,5608922.467,"Zentralhessische Ackerbaugebiete, Warburger Börde",A,0,YK,YK/SS-LL,0,>200,0,0,N3.2,NN,VV,HR,Z,67.1,28.71,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3285_Z_1.GIF
3286,HE,10,2012,478492.8678,5608275.533,"Zentralhessische Ackerbaugebiete, Warburger Börde",A,0,AB,ABn,0,NA,0,0,N0,,GG,TSF,Z,56.85,47.5,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3286_Z_1.GIF
3288,HE,7,2012,495001.304,5610491.98,"Zentralhessische Ackerbaugebiete, Warburger Börde",G,0,SS,SSg,0,>200,0,0,N3.1,EE,XX,H,R,52.18,17.39,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3288_Z_1.GIF
3289,HE,11,2012,499997.072,5609088.614,"Zentralhessische Ackerbaugebiete, Warburger Börde",A,0,ZZ,>YKn,0,>200,0,0,N0.1,,GG,KS,Z,45.91,61.06,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3289_Z_1.GIF
3290,HE,4,2013,511318.4731,5610855.736,"Zentralhessische Ackerbaugebiete, Warburger Börde",G,0,BBh,SS-BBh,0,NA,0,0,N2.2,SW,VV,H,U,91.5,22.19,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3290_Z_1.GIF
3291,HE,9,2012,518421.7907,5606879.315,Osthessische Mittelgebirgslagen,A,0,RQ,vBB-RQ,0,>200,0,0,N4,WW,GX,HF,M,49.24,15.49,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3291_Z_1.GIF
3292,HE,9,2012,523822.9051,5607275.278,Osthessische Mittelgebirgslagen,A,0,SS,e.vLL-SS,0,>200,0,0,N2,NE,XG,KSF,M,54.62,25.24,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3292_Z_1.GIF
3293,HE,8,2012,535924.9255,5607067.055,Osthessische Mittelgebirgslagen,G,0,AB,ABn,GWS5.1,100,0,0,N0,,XX,V,Z,92.04,83.78,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3293_Z_1.GIF
3294,HE,5,2014,539113.1992,5609824.89,Osthessische Mittelgebirgslagen,G,0,GG,AB-GG,GWS4,98,0,0,N1,SW,VG,TS,R,54.02,24.57,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3294_Z_1.GIF
3296,HE,4,2013,558927.1218,5611087.663,Osthessische Mittelgebirgslagen,G,0,LL,s.vLLn,0,NA,0,0,N3.1,NN,XX,H,O,73.71,14.64,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3296_Z_1.GIF
3301,TH,8,2016,597747.913,5611100.54,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BBn,0,>200,0,0,N3.2,WW,GX,H,M,52.61,12.84,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3301_Z_1.GIF
3307,TH,6,2015,646752.6023,5612555.562,Verwitterungsböden in den Übergangslagen (Ost),G,0,BB,BBn,0,>200,0,0,N3.2,NW,XG,H,O,43.01,12.34,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3307_Z_1.GIF
3309,TH,9,2015,659918.6506,5609273.442,Thüringer Wald,A,0,BB,BBn,0,>200,0,0,N3.2,NE,XX,H,O,19.52,4.4000000000000004,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3309_Z_1.GIF
3310,TH,9,2015,671510.6934,5612154.343,Verwitterungsböden in den Übergangslagen (Ost),A,0,YK,cYKn,0,>200,0,0,N3.1,SS,VV,H,M,42.31,56.77,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3310_Z_1.GIF
3311,TH,8,2015,679705.2814,5613166.446,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BBn,0,>200,0,0,N3.2,SE,XG,H,M,39.14,9.6,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3311_Z_1.GIF
3313,TH,5,2015,693899.4249,5610716.633,Verwitterungsböden in den Übergangslagen (Ost),G,0,RN,s.vBB-RN,0,NA,0,0,N3.2,NE,VV,H,M,77.25,10.199999999999999,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3313_Z_1.GIF
3314,TH,5,2015,702631.7487,5609539.372,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,BBn,0,>200,0,0,N1,NW,XX,H,O,80.95,34.630000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3314_Z_1.GIF
3316,TH,8,2015,715965.7299,5609688.207,Verwitterungsböden in den Übergangslagen (Ost),A,0,YK,YK/sBB,0,>200,0,0,N2.2,SE,GX,H,Z,55.06,31.53,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3316_Z_1.GIF
3317,SN,2,2018,724420.8925,5611366.755,Verwitterungsböden in den Übergangslagen (Ost),A,0,RQ,sBB-RQ,0,>200,0,0,N2,NN,XG,H,O,67.55,12.12,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3317_Z_1.GIF
3318,SN,2,2018,733159.0941,5610798.961,Verwitterungsböden in den Übergangslagen (Ost),A,0,BB,SS-BB,0,>200,0,0,N2,EE,GG,H,U,108.19,37.450000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3318_Z_1.GIF
3319,SN,5,2017,743033.5669,5613741.257,Verwitterungsböden in den Übergangslagen (Ost),G,0,SS,LL-SS,0,>200,0,0,N2,EE,GG,H,O,75.81,13.74,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3319_Z_1.GIF
3320,SN,7,2018,748381.7501,5614166.446,Verwitterungsböden in den Übergangslagen (Ost),G,0,BB,BBn,0,>200,0,0,N3.1,SS,GX,H,M,38.87,21.26,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3320_Z_1.GIF
3325,SN,9,2017,791252.8504,5611947.707,Erzgebirge,A,0,RQ,BB-RQ,0,>200,0,0,N2.2,EE,GX,H,O,63.74,7.36,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3325_Z_1.GIF
3327,SN,5,2017,804392.5721,5611911.84,Erzgebirge,A,0,BB,BBn,0,>200,0,0,N2,SS,GG,H,M,107.66,38.26,https://atlas.thuenen.de/webspace/bze_profilbilder/SN_3327_Z_1.GIF
3329,NW,3,2014,315666.7604,5597229.702,Hocheifel / Höhenlagen,G,0,BB,eBBn,0,NA,0,0,N2.2,SE,GG,HF,O,71.15,18.21,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3329_Z_1.GIF
3330,NW,3,2014,326853.1861,5599204.924,Hocheifel / Höhenlagen,G,0,BB,"eBB\\RZ-DD",0,NA,0,0,N3.2,NW,XG,KHR,R,81.64,20.12,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3330_Z_1.GIF
3332,NW,3,2014,339755.6612,5597401.095,Hocheifel / Höhenlagen,G,0,BB,vBBn,0,NA,0,0,N3.2,NN,GG,H,O,78.95,9.0500000000000007,https://atlas.thuenen.de/webspace/bze_profilbilder/NW_3332_Z_1.GIF
3335,RP,7,2012,367349.1989,5600420.548,"oberer Mittelrhein, Niederrhein, südliches Münsterland",SO,0,BB,SS-BB,0,>200,0,0,N3,NN,GG,HF,M,63.84,24,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3335_Z_1.GIF
3337,RP,3,2012,381578.2123,5598019.011,"oberer Mittelrhein, Niederrhein, südliches Münsterland",G,0,AB,GG-AB,0,>200,0,0,N1,WW,GG,TSF,Z,84.14,54.08,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3337_Z_1.GIF
3338,RP,2,2012,388087.7243,5599083.188,"Hunsrück, Westerwald",G,0,BB,kBBn,0,>200,0,0,N3.2,SW,XV,H,O,66.77,13.42,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3338_Z_1.GIF
3340,RP,2,2012,404388.8494,5599017.297,"Hunsrück, Westerwald",G,0,BB,s2LL-BB,0,>200,0,0,N2.2,SS,VV,HF,M,81.37,94.17,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3340_Z_1.GIF
3343,RP,9,2011,429444.9311,5602064.336,"Hunsrück, Westerwald",G,0,SS,BB-SS,0,>200,0,0,N3,NE,GX,HS,U,91.74,26.52,https://atlas.thuenen.de/webspace/bze_profilbilder/RP_3343_Z_1.GIF
3346,HE,7,2012,451287.9485,5598638.961,"Sauerland, Briloner Höhen",G,0,AB,ABn,GWS5,145,0,0,N0.1,,GG,TS,T,82.06,39.880000000000003,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3346_Z_1.GIF
3347,HE,10,2012,460746.6369,5601039.894,"Zentralhessische Ackerbaugebiete, Warburger Börde",A,0,AB,ABn,GWS6,NA,0,0,N0.2,NE,VV,TSF,Z,65.74,68.14,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3347_Z_1.GIF
3351,HE,8,2012,494353.0692,5597745.996,"Zentralhessische Ackerbaugebiete, Warburger Börde",A,0,GG,AB-GG,GWS3,53,0,0,N0,,XX,V,Z,95.69,64.55,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3351_Z_1.GIF
3353,HE,7,2012,511264.2061,5598948.619,Osthessische Mittelgebirgslagen,G,0,SS,SSg,GWS3,50,0,0,N3.1,NN,XX,H,Z,168.05,34.18,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3353_Z_1.GIF
3355,HE,5,2014,526729.19,5601449.686,Osthessische Mittelgebirgslagen,G,0,SS,LL-SS,0,NA,0,0,N3.1,SS,GG,H,M,99.14,15.99,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3355_Z_1.GIF
3357,HE,9,2012,540830.4878,5601385.667,Osthessische Mittelgebirgslagen,A,0,LL,LLn,0,>200,0,0,N3,NW,GG,H,Z,60.35,33.15,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3357_Z_1.GIF
3360,HE,9,2013,566185.1879,5600414.716,Rhön,G,0,BB,kBBn,0,NA,0,0,N3.2,SW,XX,H,Z,54.32,21.17,https://atlas.thuenen.de/webspace/bze_profilbilder/HE_3360_Z_1.GIF
3363,TH,8,2015,591602.2791,5600254.468,Verwitterungsböden in den Übergangslagen (Ost),A,0,YK,YK/c.eYK,0,>200,0,0,N2.2,SW,GG,H,M,68.25,18.96,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3363_Z_1.GIF
3364,TH,12,2015,599998.3962,5602296.345,Verwitterungsböden in den Übergangslagen (Ost),G,0,RZ,RZn,0,>200,0,0,N2.2,NN,XG,H,O,141.18,5.41,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3364_Z_1.GIF
3365,TH,5,2015,607299.162,5604402.174,Verwitterungsböden in den Übergangslagen (Ost),G,0,RZ,RZn,0,>200,0,0,N3.2,NW,XX,H,M,90.46,9.9499999999999993,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3365_Z_1.GIF
3367,TH,5,2015,619732.248,5601418.621,Verwitterungsböden in den Übergangslagen (Ost),G,0,YK,YKn,0,>200,0,0,N3.2,NW,XG,H,M,64.51,29.92,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3367_Z_1.GIF
3370,TH,4,2015,646281.1529,5605307.078,Thüringer Wald,G,0,BB,BBn,0,>200,0,0,N3.2,WW,VG,HF,O,47.85,16.68,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3370_Z_1.GIF
3374,TH,5,2015,677547.4532,5605655.587,Verwitterungsböden in den Übergangslagen (Ost),G,0,BB,BBn,0,>200,0,0,N3.1,NN,GX,H,M,47.93,12.66,https://atlas.thuenen.de/webspace/bze_profilbilder/TH_3374_Z_1.GIF
